id,uniq_id,date_time,action_id,customer_id,quantity
1,2ae7150a652a462a108401ca83e0c1b1,2023-07-29T00:00:00,3,871,2
2,c41259fc313aaba2715df919d7d2494a,2023-07-29T00:00:00,1,601,6
3,eaed80b2b597d571117c4780f2d0fe64,2023-07-29T00:00:00,3,361,5
4,0d3e108344c4e077661abca3dc7cdcaa,2023-07-29T00:00:00,0,510,7
5,6d6eee976788583db7a820a194b3ccd1,2023-07-29T00:00:00,3,910,24
6,5f0b53403e302d76e13469253432860c,2023-07-29T00:00:00,0,561,18
7,07388a9877d50060bec90d397d5be4f0,2023-07-29T00:00:00,3,710,7
8,cda57beabcf1e839c3666effd6c3774c,2023-07-29T00:00:00,1,291,14
9,1a8312748dadf149614b2c67b4353fc0,2023-07-29T00:00:00,2,321,23
10,d80a40cb4e591f6bb4a2081e6b8cf6b1,2023-07-29T00:00:00,2,91,14
11,2500e710e34b4c38c8fe94ec784c6293,2023-07-29T00:00:00,1,730,24
12,cdd9467d5c8ba771e5264433c3a22001,2023-07-29T00:00:00,0,361,19
13,3afbdba456bf4e211478e8beb2d00bc6,2023-07-29T00:00:00,0,421,22
14,7526045725c9331e620af6564b134fb0,2023-07-29T00:00:00,2,110,5
15,332395f2a6ddbb1cb2e533ea1bca7bda,2023-07-29T00:00:00,0,740,17
16,6103698a8d97e5db87ba949c4e1bc602,2023-07-29T00:00:00,3,671,5
17,b83301ead4491e864bf884570484c26a,2023-07-29T00:00:00,1,211,5
18,ba70dd5a85f61d26cdc562e25ad6d6a9,2023-07-29T00:00:00,1,41,10
19,ffbfa7255d7bf41271fdeaad1b72d8d3,2023-07-29T00:00:00,3,390,6
20,e20ef0a49e756bc4d19f9b30caf02f5b,2023-07-30T00:00:00,1,590,9
21,f3820f3fbf3aa47ba300bd77604ea297,2023-07-30T00:00:00,3,31,18
22,c469a3a3fab3301f7b6713697a69776c,2023-07-30T00:00:00,1,301,21
23,70c5f46311eed3bcb9aa60e0caef0529,2023-07-30T00:00:00,2,280,7
24,c93a31aafcd024f4158f4c36cdcf2707,2023-07-31T00:00:00,2,21,11
25,a37ec34a9538f3434f652d1d77a65369,2023-07-31T00:00:00,2,930,11
26,d8b463016b8595addf3c43ed280c7a43,2023-08-01T00:00:00,1,901,24
27,54fd4dede5936629e302f2d1b7a4a2d0,2023-08-01T00:00:00,2,620,5
28,f01b8509f97671085cb84010a5157a9b,2023-08-01T00:00:00,3,221,5
29,fedd4b4ed6e32dac8ec125f225c1f440,2023-08-02T00:00:00,2,551,7
30,0a0802882cb58a8440415430a58539bc,2023-08-02T00:00:00,2,131,1
31,de999e9dd40ac95112e42370858252d8,2023-08-02T00:00:00,1,391,1
32,8fdd7675a5152a19bc908112def8e832,2023-08-02T00:00:00,0,801,20
33,e087ef753903ce67bb0e77c34ea96cc9,2023-08-02T00:00:00,0,250,10
34,6157408fb8ba9763ac1b21f241b8ae27,2023-08-03T00:00:00,1,680,13
35,f55f95ef52973c52595540fa451704a5,2023-08-03T00:00:00,0,811,21
36,852468923050e5b74a88c0190e03599c,2023-08-03T00:00:00,3,361,9
37,8e636248c8a50f15675d3f6d0f55973d,2023-08-03T00:00:00,2,981,0
38,40813a59d5462c03495d682511dca06c,2023-08-03T00:00:00,0,751,24
39,1f09d2e7d3a3782d9bf2e16816473418,2023-08-04T00:00:00,3,941,19
40,ee4ba280e5c241f81ba2023c7444fd26,2023-08-04T00:00:00,0,670,4
41,4c609e31985e124c96316f5c6ff15ae9,2023-08-04T00:00:00,1,610,21
42,7d7bd837cd1659afabf76b8f43bb72b1,2023-08-04T00:00:00,0,730,17
43,aa967c6f7c2841f20ba1efb2dab7f3c9,2023-08-04T00:00:00,2,101,6
44,12a6799b2b2453037f802b2778c87ebb,2023-08-04T00:00:00,3,31,15
45,5d0ee1b802fca3d34330f33211e36ef8,2023-08-04T00:00:00,2,990,15
46,70b1e08f80222da9774442171d9acf8a,2023-08-04T00:00:00,2,631,9
47,84035cfabd169ea10caaf4ba639dd676,2023-08-04T00:00:00,3,540,12
48,fa4305279036ee468c2e30e15bd04b33,2023-08-04T00:00:00,0,140,10
49,a5536d3a7be666fb7c614658d3ea4665,2023-08-04T00:00:00,1,921,11
50,25974d70c324714c0084969f9defd11a,2023-08-04T00:00:00,2,900,13
51,47f97f9253a57d990f94e66b939c02da,2023-08-04T00:00:00,2,111,0
52,854ceb39061c337ac402d9498050350c,2023-08-04T00:00:00,2,180,10
53,05a7fbfa8e24a2b28d62495b15959ee8,2023-08-04T00:00:00,1,401,15
54,35eddb97d6e5b93e144329e6f3149519,2023-08-04T00:00:00,1,500,1
55,d7ff7b2045a2e67240ec111b288a2072,2023-08-04T00:00:00,1,990,9
